Capacities	Resizes
5		0
1234		14
2776		16
4164		17
4164		17
6246		18
6246		18
9369		19
9369		19
9369		19
14053		20
14053		20
14053		20
14053		20
14053		20
21079		21
21079		21
21079		21
21079		21
21079		21
21079		21
21079		21
31618		22
31618		22
31618		22
31618		22
31618		22
31618		22
31618		22
31618		22
31618		22
31618		22
47427		23
47427		23
47427		23
47427		23
47427		23
47427		23
47427		23
47427		23
47427		23
47427		23
47427		23
47427		23
47427		23
47427		23
47427		23
47427		23
71140		24
71140		24
71140		24
71140		24
71140		24
71140		24
71140		24
71140		24
71140		24
71140		24
71140		24
71140		24
71140		24
71140		24
71140		24
71140		24
71140		24
71140		24
71140		24
71140		24
71140		24
71140		24
71140		24
71140		24
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
106710		25
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
160065		26
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
240097		27
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
360145		28
