Capacities	Resizes
5		0
1001		498
2001		998
3001		1498
4001		1998
5001		2498
6001		2998
7001		3498
8001		3998
9001		4498
10001		4998
11001		5498
12001		5998
13001		6498
14001		6998
15001		7498
16001		7998
17001		8498
18001		8998
19001		9498
20001		9998
21001		10498
22001		10998
23001		11498
24001		11998
25001		12498
26001		12998
27001		13498
28001		13998
29001		14498
30001		14998
31001		15498
32001		15998
33001		16498
34001		16998
35001		17498
36001		17998
37001		18498
38001		18998
39001		19498
40001		19998
41001		20498
42001		20998
43001		21498
44001		21998
45001		22498
46001		22998
47001		23498
48001		23998
49001		24498
50001		24998
51001		25498
52001		25998
53001		26498
54001		26998
55001		27498
56001		27998
57001		28498
58001		28998
59001		29498
60001		29998
61001		30498
62001		30998
63001		31498
64001		31998
65001		32498
66001		32998
67001		33498
68001		33998
69001		34498
70001		34998
71001		35498
72001		35998
73001		36498
74001		36998
75001		37498
76001		37998
77001		38498
78001		38998
79001		39498
80001		39998
81001		40498
82001		40998
83001		41498
84001		41998
85001		42498
86001		42998
87001		43498
88001		43998
89001		44498
90001		44998
91001		45498
92001		45998
93001		46498
94001		46998
95001		47498
96001		47998
97001		48498
98001		48998
99001		49498
100001		49998
101001		50498
102001		50998
103001		51498
104001		51998
105001		52498
106001		52998
107001		53498
108001		53998
109001		54498
110001		54998
111001		55498
112001		55998
113001		56498
114001		56998
115001		57498
116001		57998
117001		58498
118001		58998
119001		59498
120001		59998
121001		60498
122001		60998
123001		61498
124001		61998
125001		62498
126001		62998
127001		63498
128001		63998
129001		64498
130001		64998
131001		65498
132001		65998
133001		66498
134001		66998
135001		67498
136001		67998
137001		68498
138001		68998
139001		69498
140001		69998
141001		70498
142001		70998
143001		71498
144001		71998
145001		72498
146001		72998
147001		73498
148001		73998
149001		74498
150001		74998
151001		75498
152001		75998
153001		76498
154001		76998
155001		77498
156001		77998
157001		78498
158001		78998
159001		79498
160001		79998
161001		80498
162001		80998
163001		81498
164001		81998
165001		82498
166001		82998
167001		83498
168001		83998
169001		84498
170001		84998
171001		85498
172001		85998
173001		86498
174001		86998
175001		87498
176001		87998
177001		88498
178001		88998
179001		89498
180001		89998
181001		90498
182001		90998
183001		91498
184001		91998
185001		92498
186001		92998
187001		93498
188001		93998
189001		94498
190001		94998
191001		95498
192001		95998
193001		96498
194001		96998
195001		97498
196001		97998
197001		98498
198001		98998
199001		99498
200001		99998
201001		100498
202001		100998
203001		101498
204001		101998
205001		102498
206001		102998
207001		103498
208001		103998
209001		104498
210001		104998
211001		105498
212001		105998
213001		106498
214001		106998
215001		107498
216001		107998
217001		108498
218001		108998
219001		109498
220001		109998
221001		110498
222001		110998
223001		111498
224001		111998
225001		112498
226001		112998
227001		113498
228001		113998
229001		114498
230001		114998
231001		115498
232001		115998
233001		116498
234001		116998
235001		117498
236001		117998
237001		118498
238001		118998
239001		119498
240001		119998
241001		120498
242001		120998
243001		121498
244001		121998
245001		122498
246001		122998
247001		123498
248001		123998
249001		124498
250001		124998
251001		125498
252001		125998
253001		126498
254001		126998
255001		127498
256001		127998
257001		128498
258001		128998
259001		129498
260001		129998
261001		130498
262001		130998
263001		131498
264001		131998
265001		132498
266001		132998
267001		133498
268001		133998
269001		134498
270001		134998
271001		135498
272001		135998
273001		136498
274001		136998
275001		137498
276001		137998
277001		138498
278001		138998
279001		139498
280001		139998
281001		140498
282001		140998
283001		141498
284001		141998
285001		142498
286001		142998
287001		143498
288001		143998
289001		144498
290001		144998
291001		145498
292001		145998
293001		146498
294001		146998
295001		147498
296001		147998
297001		148498
298001		148998
299001		149498
300001		149998
301001		150498
302001		150998
303001		151498
304001		151998
305001		152498
306001		152998
307001		153498
308001		153998
309001		154498
310001		154998
311001		155498
312001		155998
313001		156498
314001		156998
315001		157498
316001		157998
317001		158498
318001		158998
319001		159498
320001		159998
321001		160498
322001		160998
323001		161498
324001		161998
325001		162498
326001		162998
327001		163498
328001		163998
329001		164498
330001		164998
331001		165498
332001		165998
333001		166498
334001		166998
335001		167498
336001		167998
337001		168498
338001		168998
339001		169498
340001		169998
341001		170498
342001		170998
343001		171498
344001		171998
345001		172498
346001		172998
347001		173498
348001		173998
349001		174498
350001		174998
351001		175498
352001		175998
353001		176498
354001		176998
355001		177498
356001		177998
357001		178498
358001		178998
359001		179498
360001		179998
361001		180498
362001		180998
363001		181498
364001		181998
365001		182498
366001		182998
367001		183498
368001		183998
369001		184498
370001		184998
371001		185498
372001		185998
373001		186498
374001		186998
375001		187498
376001		187998
377001		188498
378001		188998
379001		189498
380001		189998
381001		190498
382001		190998
383001		191498
384001		191998
385001		192498
386001		192998
387001		193498
388001		193998
389001		194498
390001		194998
391001		195498
392001		195998
393001		196498
394001		196998
395001		197498
396001		197998
397001		198498
398001		198998
399001		199498
400001		199998
401001		200498
402001		200998
403001		201498
404001		201998
405001		202498
406001		202998
407001		203498
408001		203998
409001		204498
410001		204998
411001		205498
412001		205998
413001		206498
414001		206998
415001		207498
416001		207998
417001		208498
418001		208998
419001		209498
420001		209998
421001		210498
422001		210998
423001		211498
424001		211998
425001		212498
426001		212998
427001		213498
428001		213998
429001		214498
430001		214998
431001		215498
432001		215998
433001		216498
434001		216998
435001		217498
436001		217998
437001		218498
438001		218998
439001		219498
440001		219998
441001		220498
442001		220998
443001		221498
444001		221998
445001		222498
446001		222998
447001		223498
448001		223998
449001		224498
450001		224998
451001		225498
452001		225998
453001		226498
454001		226998
455001		227498
456001		227998
457001		228498
458001		228998
459001		229498
460001		229998
461001		230498
462001		230998
463001		231498
464001		231998
465001		232498
466001		232998
467001		233498
468001		233998
469001		234498
470001		234998
471001		235498
472001		235998
473001		236498
474001		236998
475001		237498
476001		237998
477001		238498
478001		238998
479001		239498
480001		239998
481001		240498
482001		240998
483001		241498
484001		241998
485001		242498
486001		242998
487001		243498
488001		243998
489001		244498
490001		244998
491001		245498
492001		245998
493001		246498
494001		246998
495001		247498
496001		247998
497001		248498
498001		248998
499001		249498
500001		249998
501001		250498
502001		250998
503001		251498
504001		251998
505001		252498
506001		252998
507001		253498
508001		253998
509001		254498
510001		254998
511001		255498
512001		255998
513001		256498
514001		256998
515001		257498
516001		257998
517001		258498
518001		258998
519001		259498
520001		259998
521001		260498
522001		260998
523001		261498
524001		261998
525001		262498
526001		262998
527001		263498
528001		263998
529001		264498
530001		264998
531001		265498
532001		265998
533001		266498
534001		266998
535001		267498
536001		267998
537001		268498
538001		268998
539001		269498
540001		269998
541001		270498
542001		270998
543001		271498
544001		271998
545001		272498
546001		272998
547001		273498
548001		273998
549001		274498
550001		274998
551001		275498
552001		275998
553001		276498
554001		276998
555001		277498
556001		277998
557001		278498
558001		278998
559001		279498
560001		279998
561001		280498
562001		280998
563001		281498
564001		281998
565001		282498
566001		282998
567001		283498
568001		283998
569001		284498
570001		284998
571001		285498
572001		285998
573001		286498
574001		286998
575001		287498
576001		287998
577001		288498
578001		288998
579001		289498
580001		289998
581001		290498
582001		290998
583001		291498
584001		291998
585001		292498
586001		292998
587001		293498
588001		293998
589001		294498
590001		294998
591001		295498
592001		295998
593001		296498
594001		296998
595001		297498
596001		297998
597001		298498
598001		298998
599001		299498
600001		299998
601001		300498
602001		300998
603001		301498
604001		301998
605001		302498
606001		302998
607001		303498
608001		303998
609001		304498
610001		304998
611001		305498
612001		305998
613001		306498
614001		306998
615001		307498
616001		307998
617001		308498
618001		308998
619001		309498
620001		309998
621001		310498
622001		310998
623001		311498
624001		311998
625001		312498
626001		312998
627001		313498
628001		313998
629001		314498
630001		314998
631001		315498
632001		315998
633001		316498
634001		316998
635001		317498
636001		317998
637001		318498
638001		318998
639001		319498
640001		319998
641001		320498
642001		320998
643001		321498
644001		321998
645001		322498
646001		322998
647001		323498
648001		323998
649001		324498
650001		324998
651001		325498
652001		325998
653001		326498
654001		326998
655001		327498
656001		327998
657001		328498
658001		328998
659001		329498
660001		329998
661001		330498
662001		330998
663001		331498
664001		331998
665001		332498
666001		332998
667001		333498
668001		333998
669001		334498
670001		334998
671001		335498
672001		335998
673001		336498
674001		336998
675001		337498
676001		337998
677001		338498
678001		338998
679001		339498
680001		339998
681001		340498
682001		340998
683001		341498
684001		341998
685001		342498
686001		342998
687001		343498
688001		343998
689001		344498
690001		344998
691001		345498
692001		345998
693001		346498
694001		346998
695001		347498
696001		347998
697001		348498
698001		348998
699001		349498
700001		349998
701001		350498
702001		350998
703001		351498
704001		351998
705001		352498
706001		352998
707001		353498
708001		353998
709001		354498
710001		354998
711001		355498
712001		355998
713001		356498
714001		356998
715001		357498
716001		357998
717001		358498
718001		358998
719001		359498
720001		359998
721001		360498
722001		360998
723001		361498
724001		361998
725001		362498
726001		362998
727001		363498
728001		363998
729001		364498
730001		364998
731001		365498
732001		365998
733001		366498
734001		366998
735001		367498
736001		367998
737001		368498
738001		368998
739001		369498
740001		369998
741001		370498
742001		370998
743001		371498
744001		371998
745001		372498
746001		372998
747001		373498
748001		373998
749001		374498
750001		374998
751001		375498
752001		375998
753001		376498
754001		376998
755001		377498
756001		377998
757001		378498
758001		378998
759001		379498
760001		379998
761001		380498
762001		380998
763001		381498
764001		381998
765001		382498
766001		382998
767001		383498
768001		383998
769001		384498
770001		384998
771001		385498
772001		385998
773001		386498
774001		386998
775001		387498
776001		387998
777001		388498
778001		388998
779001		389498
780001		389998
781001		390498
782001		390998
783001		391498
784001		391998
785001		392498
786001		392998
787001		393498
788001		393998
789001		394498
790001		394998
791001		395498
792001		395998
793001		396498
794001		396998
795001		397498
796001		397998
797001		398498
798001		398998
799001		399498
800001		399998
801001		400498
802001		400998
803001		401498
804001		401998
805001		402498
806001		402998
807001		403498
808001		403998
809001		404498
810001		404998
811001		405498
812001		405998
813001		406498
814001		406998
815001		407498
816001		407998
817001		408498
818001		408998
819001		409498
820001		409998
821001		410498
822001		410998
823001		411498
824001		411998
825001		412498
826001		412998
827001		413498
828001		413998
829001		414498
830001		414998
831001		415498
832001		415998
833001		416498
834001		416998
835001		417498
836001		417998
837001		418498
838001		418998
839001		419498
840001		419998
841001		420498
842001		420998
843001		421498
844001		421998
845001		422498
846001		422998
847001		423498
848001		423998
849001		424498
850001		424998
851001		425498
852001		425998
853001		426498
854001		426998
855001		427498
856001		427998
857001		428498
858001		428998
859001		429498
860001		429998
861001		430498
862001		430998
863001		431498
864001		431998
865001		432498
866001		432998
867001		433498
868001		433998
869001		434498
870001		434998
871001		435498
872001		435998
873001		436498
874001		436998
875001		437498
876001		437998
877001		438498
878001		438998
879001		439498
880001		439998
881001		440498
882001		440998
883001		441498
884001		441998
885001		442498
886001		442998
887001		443498
888001		443998
889001		444498
890001		444998
891001		445498
892001		445998
893001		446498
894001		446998
895001		447498
896001		447998
897001		448498
898001		448998
899001		449498
900001		449998
901001		450498
902001		450998
903001		451498
904001		451998
905001		452498
906001		452998
907001		453498
908001		453998
909001		454498
910001		454998
911001		455498
912001		455998
913001		456498
914001		456998
915001		457498
916001		457998
917001		458498
918001		458998
919001		459498
920001		459998
921001		460498
922001		460998
923001		461498
924001		461998
925001		462498
926001		462998
927001		463498
928001		463998
929001		464498
930001		464998
931001		465498
932001		465998
933001		466498
934001		466998
935001		467498
936001		467998
937001		468498
938001		468998
939001		469498
940001		469998
941001		470498
942001		470998
943001		471498
944001		471998
945001		472498
946001		472998
947001		473498
948001		473998
949001		474498
950001		474998
951001		475498
952001		475998
953001		476498
954001		476998
955001		477498
956001		477998
957001		478498
958001		478998
959001		479498
960001		479998
961001		480498
962001		480998
963001		481498
964001		481998
965001		482498
966001		482998
967001		483498
968001		483998
969001		484498
970001		484998
971001		485498
972001		485998
973001		486498
974001		486998
975001		487498
976001		487998
977001		488498
978001		488998
979001		489498
980001		489998
981001		490498
982001		490998
983001		491498
984001		491998
985001		492498
986001		492998
987001		493498
988001		493998
989001		494498
990001		494998
991001		495498
992001		495998
993001		496498
994001		496998
995001		497498
996001		497998
997001		498498
998001		498998
999001		499498
