Capacities	Resizes
5		0
1000		995
2000		1995
3000		2995
4000		3995
5000		4995
6000		5995
7000		6995
8000		7995
9000		8995
10000		9995
11000		10995
12000		11995
13000		12995
14000		13995
15000		14995
16000		15995
17000		16995
18000		17995
19000		18995
20000		19995
21000		20995
22000		21995
23000		22995
24000		23995
25000		24995
26000		25995
27000		26995
28000		27995
29000		28995
30000		29995
31000		30995
32000		31995
33000		32995
34000		33995
35000		34995
36000		35995
37000		36995
38000		37995
39000		38995
40000		39995
41000		40995
42000		41995
43000		42995
44000		43995
45000		44995
46000		45995
47000		46995
48000		47995
49000		48995
50000		49995
51000		50995
52000		51995
53000		52995
54000		53995
55000		54995
56000		55995
57000		56995
58000		57995
59000		58995
60000		59995
61000		60995
62000		61995
63000		62995
64000		63995
65000		64995
66000		65995
67000		66995
68000		67995
69000		68995
70000		69995
71000		70995
72000		71995
73000		72995
74000		73995
75000		74995
76000		75995
77000		76995
78000		77995
79000		78995
80000		79995
81000		80995
82000		81995
83000		82995
84000		83995
85000		84995
86000		85995
87000		86995
88000		87995
89000		88995
90000		89995
91000		90995
92000		91995
93000		92995
94000		93995
95000		94995
96000		95995
97000		96995
98000		97995
99000		98995
100000		99995
101000		100995
102000		101995
103000		102995
104000		103995
105000		104995
106000		105995
107000		106995
108000		107995
109000		108995
110000		109995
111000		110995
112000		111995
113000		112995
114000		113995
115000		114995
116000		115995
117000		116995
118000		117995
119000		118995
120000		119995
121000		120995
122000		121995
123000		122995
124000		123995
125000		124995
126000		125995
127000		126995
128000		127995
129000		128995
130000		129995
131000		130995
132000		131995
133000		132995
134000		133995
135000		134995
136000		135995
137000		136995
138000		137995
139000		138995
140000		139995
141000		140995
142000		141995
143000		142995
144000		143995
145000		144995
146000		145995
147000		146995
148000		147995
149000		148995
150000		149995
151000		150995
152000		151995
153000		152995
154000		153995
155000		154995
156000		155995
157000		156995
158000		157995
159000		158995
160000		159995
161000		160995
162000		161995
163000		162995
164000		163995
165000		164995
166000		165995
167000		166995
168000		167995
169000		168995
170000		169995
171000		170995
172000		171995
173000		172995
174000		173995
175000		174995
176000		175995
177000		176995
178000		177995
179000		178995
180000		179995
181000		180995
182000		181995
183000		182995
184000		183995
185000		184995
186000		185995
187000		186995
188000		187995
189000		188995
190000		189995
191000		190995
192000		191995
193000		192995
194000		193995
195000		194995
196000		195995
197000		196995
198000		197995
199000		198995
200000		199995
201000		200995
202000		201995
203000		202995
204000		203995
205000		204995
206000		205995
207000		206995
208000		207995
209000		208995
210000		209995
211000		210995
212000		211995
213000		212995
214000		213995
215000		214995
216000		215995
217000		216995
218000		217995
219000		218995
220000		219995
221000		220995
222000		221995
223000		222995
224000		223995
225000		224995
226000		225995
227000		226995
228000		227995
229000		228995
230000		229995
231000		230995
232000		231995
233000		232995
234000		233995
235000		234995
236000		235995
237000		236995
238000		237995
239000		238995
240000		239995
241000		240995
242000		241995
243000		242995
244000		243995
245000		244995
246000		245995
247000		246995
248000		247995
249000		248995
250000		249995
251000		250995
252000		251995
253000		252995
254000		253995
255000		254995
256000		255995
257000		256995
258000		257995
259000		258995
260000		259995
261000		260995
262000		261995
263000		262995
264000		263995
265000		264995
266000		265995
267000		266995
268000		267995
269000		268995
270000		269995
271000		270995
272000		271995
273000		272995
274000		273995
275000		274995
276000		275995
277000		276995
278000		277995
279000		278995
280000		279995
281000		280995
282000		281995
283000		282995
284000		283995
285000		284995
286000		285995
287000		286995
288000		287995
289000		288995
290000		289995
291000		290995
292000		291995
293000		292995
294000		293995
295000		294995
296000		295995
297000		296995
298000		297995
299000		298995
300000		299995
301000		300995
302000		301995
303000		302995
304000		303995
305000		304995
306000		305995
307000		306995
308000		307995
309000		308995
310000		309995
311000		310995
312000		311995
313000		312995
314000		313995
315000		314995
316000		315995
317000		316995
318000		317995
319000		318995
320000		319995
321000		320995
322000		321995
323000		322995
324000		323995
325000		324995
326000		325995
327000		326995
328000		327995
329000		328995
330000		329995
331000		330995
332000		331995
333000		332995
334000		333995
335000		334995
336000		335995
337000		336995
338000		337995
339000		338995
340000		339995
341000		340995
342000		341995
343000		342995
344000		343995
345000		344995
346000		345995
347000		346995
348000		347995
349000		348995
350000		349995
351000		350995
352000		351995
353000		352995
354000		353995
355000		354995
356000		355995
357000		356995
358000		357995
359000		358995
360000		359995
361000		360995
362000		361995
363000		362995
364000		363995
365000		364995
366000		365995
367000		366995
368000		367995
369000		368995
370000		369995
371000		370995
372000		371995
373000		372995
374000		373995
375000		374995
376000		375995
377000		376995
378000		377995
379000		378995
380000		379995
381000		380995
382000		381995
383000		382995
384000		383995
385000		384995
386000		385995
387000		386995
388000		387995
389000		388995
390000		389995
391000		390995
392000		391995
393000		392995
394000		393995
395000		394995
396000		395995
397000		396995
398000		397995
399000		398995
400000		399995
401000		400995
402000		401995
403000		402995
404000		403995
405000		404995
406000		405995
407000		406995
408000		407995
409000		408995
410000		409995
411000		410995
412000		411995
413000		412995
414000		413995
415000		414995
416000		415995
417000		416995
418000		417995
419000		418995
420000		419995
421000		420995
422000		421995
423000		422995
424000		423995
425000		424995
426000		425995
427000		426995
428000		427995
429000		428995
430000		429995
431000		430995
432000		431995
433000		432995
434000		433995
435000		434995
436000		435995
437000		436995
438000		437995
439000		438995
440000		439995
441000		440995
442000		441995
443000		442995
444000		443995
445000		444995
446000		445995
447000		446995
448000		447995
449000		448995
450000		449995
451000		450995
452000		451995
453000		452995
454000		453995
455000		454995
456000		455995
457000		456995
458000		457995
459000		458995
460000		459995
461000		460995
462000		461995
463000		462995
464000		463995
465000		464995
466000		465995
467000		466995
468000		467995
469000		468995
470000		469995
471000		470995
472000		471995
473000		472995
474000		473995
475000		474995
476000		475995
477000		476995
478000		477995
479000		478995
480000		479995
481000		480995
482000		481995
483000		482995
484000		483995
485000		484995
486000		485995
487000		486995
488000		487995
489000		488995
490000		489995
491000		490995
492000		491995
493000		492995
494000		493995
495000		494995
496000		495995
497000		496995
498000		497995
499000		498995
500000		499995
501000		500995
502000		501995
503000		502995
504000		503995
505000		504995
506000		505995
507000		506995
508000		507995
509000		508995
510000		509995
511000		510995
512000		511995
513000		512995
514000		513995
515000		514995
516000		515995
517000		516995
518000		517995
519000		518995
520000		519995
521000		520995
522000		521995
523000		522995
524000		523995
525000		524995
526000		525995
527000		526995
528000		527995
529000		528995
530000		529995
531000		530995
532000		531995
533000		532995
534000		533995
535000		534995
536000		535995
537000		536995
538000		537995
539000		538995
540000		539995
541000		540995
542000		541995
543000		542995
544000		543995
545000		544995
546000		545995
547000		546995
548000		547995
549000		548995
550000		549995
551000		550995
552000		551995
553000		552995
554000		553995
555000		554995
556000		555995
557000		556995
558000		557995
559000		558995
560000		559995
561000		560995
562000		561995
563000		562995
564000		563995
565000		564995
566000		565995
567000		566995
568000		567995
569000		568995
570000		569995
571000		570995
572000		571995
573000		572995
574000		573995
575000		574995
576000		575995
577000		576995
578000		577995
579000		578995
580000		579995
581000		580995
582000		581995
583000		582995
584000		583995
585000		584995
586000		585995
587000		586995
588000		587995
589000		588995
590000		589995
591000		590995
592000		591995
593000		592995
594000		593995
595000		594995
596000		595995
597000		596995
598000		597995
599000		598995
600000		599995
601000		600995
602000		601995
603000		602995
604000		603995
605000		604995
606000		605995
607000		606995
608000		607995
609000		608995
610000		609995
611000		610995
612000		611995
613000		612995
614000		613995
615000		614995
616000		615995
617000		616995
618000		617995
619000		618995
620000		619995
621000		620995
622000		621995
623000		622995
624000		623995
625000		624995
626000		625995
627000		626995
628000		627995
629000		628995
630000		629995
631000		630995
632000		631995
633000		632995
634000		633995
635000		634995
636000		635995
637000		636995
638000		637995
639000		638995
640000		639995
641000		640995
642000		641995
643000		642995
644000		643995
645000		644995
646000		645995
647000		646995
648000		647995
649000		648995
650000		649995
651000		650995
652000		651995
653000		652995
654000		653995
655000		654995
656000		655995
657000		656995
658000		657995
659000		658995
660000		659995
661000		660995
662000		661995
663000		662995
664000		663995
665000		664995
666000		665995
667000		666995
668000		667995
669000		668995
670000		669995
671000		670995
672000		671995
673000		672995
674000		673995
675000		674995
676000		675995
677000		676995
678000		677995
679000		678995
680000		679995
681000		680995
682000		681995
683000		682995
684000		683995
685000		684995
686000		685995
687000		686995
688000		687995
689000		688995
690000		689995
691000		690995
692000		691995
693000		692995
694000		693995
695000		694995
696000		695995
697000		696995
698000		697995
699000		698995
700000		699995
701000		700995
702000		701995
703000		702995
704000		703995
705000		704995
706000		705995
707000		706995
708000		707995
709000		708995
710000		709995
711000		710995
712000		711995
713000		712995
714000		713995
715000		714995
716000		715995
717000		716995
718000		717995
719000		718995
720000		719995
721000		720995
722000		721995
723000		722995
724000		723995
725000		724995
726000		725995
727000		726995
728000		727995
729000		728995
730000		729995
731000		730995
732000		731995
733000		732995
734000		733995
735000		734995
736000		735995
737000		736995
738000		737995
739000		738995
740000		739995
741000		740995
742000		741995
743000		742995
744000		743995
745000		744995
746000		745995
747000		746995
748000		747995
749000		748995
750000		749995
751000		750995
752000		751995
753000		752995
754000		753995
755000		754995
756000		755995
757000		756995
758000		757995
759000		758995
760000		759995
