Capacities	Resizes
5		0
1280		8
2560		9
5120		10
5120		10
5120		10
10240		11
10240		11
10240		11
10240		11
10240		11
20480		12
20480		12
20480		12
20480		12
20480		12
20480		12
20480		12
20480		12
20480		12
20480		12
40960		13
40960		13
40960		13
40960		13
40960		13
40960		13
40960		13
40960		13
40960		13
40960		13
40960		13
40960		13
40960		13
40960		13
40960		13
40960		13
40960		13
40960		13
40960		13
40960		13
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
81920		14
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
163840		15
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
327680		16
